01.08 12:00:15 STATS: testProject.0 cache, locks:0
01.08 12:01:15 STATS: testProject.0 cache, locks:0
01.08 12:02:15 STATS: testProject.0 cache, locks:0
01.08 12:03:15 STATS: testProject.0 cache, locks:0
01.08 12:04:15 STATS: testProject.0 cache, locks:0
01.08 12:05:15 STATS: testProject.0 cache, locks:0
01.08 12:06:15 STATS: testProject.0 cache, locks:0
01.08 12:07:15 STATS: testProject.0 cache, locks:0
01.08 12:08:15 STATS: testProject.0 cache, locks:0
01.08 12:09:15 STATS: testProject.0 cache, locks:0
01.08 12:10:15 STATS: testProject.0 cache, locks:0
01.08 12:11:15 STATS: testProject.0 cache, locks:0
01.08 12:12:15 STATS: testProject.0 cache, locks:0
01.08 12:13:15 STATS: testProject.0 cache, locks:0
01.08 12:14:15 STATS: testProject.0 cache, locks:0
01.08 12:15:15 STATS: testProject.0 cache, locks:0
01.08 12:16:15 STATS: testProject.0 cache, locks:0
01.08 12:18:13 STATS: testProject.0 cache, locks:0
01.08 12:19:56 STATS: testProject.0 cache, locks:0
01.08 12:20:56 STATS: testProject.0 cache, locks:0
