20.10 20:00:10 STATS: vdl.0 cache, locks:0
20.10 20:01:10 STATS: vdl.0 cache, locks:0
20.10 20:02:10 STATS: vdl.0 cache, locks:0
20.10 20:03:10 STATS: vdl.0 cache, locks:0
20.10 20:04:10 STATS: vdl.0 cache, locks:0
20.10 20:05:10 STATS: vdl.0 cache, locks:0
20.10 20:06:10 STATS: vdl.0 cache, locks:0
20.10 20:07:10 STATS: vdl.0 cache, locks:0
20.10 20:08:10 STATS: vdl.0 cache, locks:0
20.10 20:09:10 STATS: vdl.0 cache, locks:0
20.10 20:10:10 STATS: vdl.0 cache, locks:0
20.10 20:11:10 STATS: vdl.0 cache, locks:0
20.10 20:12:10 STATS: vdl.0 cache, locks:0
20.10 20:13:10 STATS: vdl.0 cache, locks:0
20.10 20:14:10 STATS: vdl.0 cache, locks:0
20.10 20:15:10 STATS: vdl.0 cache, locks:0
20.10 20:16:10 STATS: vdl.0 cache, locks:0
20.10 20:17:10 STATS: vdl.0 cache, locks:0
20.10 20:18:10 STATS: vdl.0 cache, locks:0
20.10 20:19:10 STATS: vdl.0 cache, locks:0
20.10 20:20:10 STATS: vdl.0 cache, locks:0
20.10 20:21:10 STATS: vdl.0 cache, locks:0
20.10 20:22:10 STATS: vdl.0 cache, locks:0
20.10 20:23:10 STATS: vdl.0 cache, locks:0
20.10 20:24:10 STATS: vdl.0 cache, locks:0
20.10 20:25:10 STATS: vdl.0 cache, locks:0
20.10 20:26:10 STATS: vdl.0 cache, locks:0
20.10 20:27:10 STATS: vdl.0 cache, locks:0
20.10 20:28:10 STATS: vdl.0 cache, locks:0
20.10 20:29:10 STATS: vdl.0 cache, locks:0
20.10 20:30:10 STATS: vdl.0 cache, locks:0
20.10 20:31:10 STATS: vdl.0 cache, locks:0
20.10 20:32:10 STATS: vdl.0 cache, locks:0
20.10 20:33:10 STATS: vdl.0 cache, locks:0
20.10 20:34:10 STATS: vdl.0 cache, locks:0
20.10 20:35:10 STATS: vdl.0 cache, locks:0
20.10 20:36:10 STATS: vdl.0 cache, locks:0
20.10 20:37:10 STATS: vdl.0 cache, locks:0
20.10 20:38:10 STATS: vdl.0 cache, locks:0
20.10 20:39:10 STATS: vdl.0 cache, locks:0
20.10 20:40:10 STATS: vdl.0 cache, locks:0
20.10 20:41:10 STATS: vdl.0 cache, locks:0
20.10 20:42:10 STATS: vdl.0 cache, locks:0
20.10 20:43:10 STATS: vdl.0 cache, locks:0
20.10 20:44:10 STATS: vdl.0 cache, locks:0
20.10 20:45:10 STATS: vdl.0 cache, locks:0
20.10 20:46:10 STATS: vdl.0 cache, locks:0
20.10 20:47:10 STATS: vdl.0 cache, locks:0
20.10 20:48:10 STATS: vdl.0 cache, locks:0
20.10 20:49:10 STATS: vdl.0 cache, locks:0
20.10 20:50:10 STATS: vdl.0 cache, locks:0
20.10 20:51:10 STATS: vdl.0 cache, locks:0
20.10 20:52:10 STATS: vdl.0 cache, locks:0
20.10 20:53:10 STATS: vdl.0 cache, locks:0
20.10 20:54:10 STATS: vdl.0 cache, locks:0
20.10 20:55:10 STATS: vdl.0 cache, locks:0
20.10 20:56:10 STATS: vdl.0 cache, locks:0
20.10 20:57:10 STATS: vdl.0 cache, locks:0
20.10 20:58:10 STATS: vdl.0 cache, locks:0
20.10 20:59:10 STATS: vdl.0 cache, locks:0
